name,political,social,age,gender
Monica SEMEDO,27.44,9.19,37,Female
Bettina VOLLATH,23.72,12.8,58,Female
Jörgen WARBORN,13.49,22.92,52,Male
Antonius MANDERS,33.95,2.42,65,Male
Cláudia MONTEIRO DE AGUIAR,31.16,4.86,39,Female
Corina CREȚU,35.81,0.14,54,Female
Milan BRGLEZ,26.51,9.34,54,Male
Pedro SILVA PEREIRA,35.81,0,59,Male
Tomasz Piotr PORĘBA,30.00,5.53,48,Male
Elena YONCHEVA,26.51,8.61,57,Female
Bernard GUETTA,34.88,0,70,Male
Giuseppe MILAZZO,34.88,0,44,Male
Jan OLBRYCHT,26.98,7.81,69,Male
Gheorghe FALCĂ,25.12,9.53,54,Male
Yana TOOM,31.63,2.86,54,Female
Maria-Manuel LEITÃO-MARQUES,34.42,0,69,Female
Rovana PLUMB,34.42,0,61,Female
Alex AGIUS SALIBA,34.42,0,32,Male
Asim ADEMOV,26.05,8.36,52,Male
Dragoş TUDORACHE,26.05,8.22,46,Male
Sunčana GLAVAK,19.53,14.73,52,Female
Rosanna CONTE,33.02,1.24,53,Female
Vlad-Marius BOTOŞ,33.95,0.17,35,Male
Vangelis MEIMARAKIS,20.47,13.56,67,Male
Monika HOHLMEIER,27.91,6.08,59,Female
Kateřina KONEČNÁ,24.19,9.8,40,Female
Bronis ROPĖ,33.95,0,66,Male
Isabel SANTOS,30.70,3.22,53,Female
Franco ROBERTI,33.49,0,73,Male
Rainer WIELAND,33.49,0,64,Male
Marina KALJURAND,21.86,11.53,59,Female
Barbara THALER,26.51,6.29,39,Female
Victor NEGRESCU,30.23,2.58,36,Male
Željana ZOVKO,21.40,11.37,51,Female
Sandra KALNIETE,30.70,1.9,68,Female
Carmen AVRAM,32.56,0,55,Female
Aldo PATRICIELLO,30.70,1.41,64,Male
Viktor USPASKICH,32.09,0,62,Male
Maria GRAPINI,31.63,0,66,Female
Joanna KOPCIŃSKA,31.63,0,54,Female
Alexander BERNHUBER,31.63,0,29,Male
Stelios KYMPOUROPOULOS,19.07,12.44,36,Male
Theodoros ZAGORAKIS,31.16,0,49,Male
Martin HLAVÁČEK,27.91,3.08,41,Male
Marlene MORTLER,30.70,0,65,Female
Vilija BLINKEVIČIŪTĖ,30.70,0,61,Female
Hannes HEIDE,30.70,0,54,Male
Robert HAJŠEL,30.70,0,54,Male
Javier ZARZALEJOS,17.67,12.9,61,Male
Andrius KUBILIUS,30.23,0,64,Male
Mara BIZZOTTO,30.23,0,49,Female
Atidzhe ALIEVA-VELI,30.23,0,40,Female
Michal ŠIMEČKA,25.12,4.97,37,Male
Marco ZULLO,22.79,7.05,42,Male
Włodzimierz CIMOSZEWICZ,29.77,0,71,Male
Tiziana BEGHIN,22.79,6.95,50,Female
Ivan Vilibor SINČIĆ,20.47,9.22,31,Male
Sylvia LIMMER,23.72,5.83,55,Female
Ramona STRUGARIU,27.91,1.44,42,Female
