"name","political","social","age","gender"
"MEP",4.19,17.32,28,"Male"
"MEP",20.93,0.54,52,"Male"
"MEP",20,1.46,52,"Male"
"MEP",18.14,3.19,46,"Female"
"MEP",21.16,0,66,"Female"
"MEP",20.93,0.12,65,"Male"
"MEP",16.74,4.03,67,"Male"
"MEP",13.49,6.98,61,"Male"
"MEP",20.47,0,64,"Male"
"MEP",20.47,0,60,"Male"
"MEP",20.47,0,55,"Male"
"MEP",13.49,6.44,60,"Female"
"MEP",9.3,10.41,45,"Male"
"MEP",19.07,0,61,"Female"
"MEP",19.07,0,61,"Male"
"MEP",19.07,0,55,"Female"
"MEP",19.07,0,46,"Male"
"MEP",19.07,0,45,"Male"
"MEP",18.6,0,48,"Male"
"MEP",18.6,0,47,"Male"
"MEP",15.81,2.46,57,"Male"
"MEP",18.14,0,71,"Male"
"MEP",18.14,0,53,"Female"
"MEP",18.14,0,50,"Male"
"MEP",17.67,0,58,"Male"
"MEP",17.67,0,53,"Male"
"MEP",17.67,0,47,"Male"
"MEP",15.35,2.07,37,"Female"
"MEP",6.98,10,65,"Male"
"MEP",16.74,0,62,"Male"
"MEP",16.74,0,40,"Male"
"MEP",16.74,0,34,"Male"
"MEP",16.28,0,61,"Male"
"MEP",15.35,0.88,63,"Female"
"MEP",12.56,3.58,46,"Male"
"MEP",6.51,8.93,64,"Male"
"MEP",15.35,0,56,"Male"
"MEP",14.88,0.02,50,"Female"
"MEP",14.88,0,54,"Male"
"MEP",14.65,0,51,"Male"
"MEP",12.56,2.02,50,"Male"
"MEP",14.42,0,71,"Male"
"MEP",13.95,0,57,"Male"
"MEP",13.95,0,54,"Male"
"MEP",13.49,0,65,"Male"
"MEP",13.49,0,58,"Male"
"MEP",13.49,0,48,"Male"
"MEP",11.16,2.25,40,"Male"
"MEP",8.37,4.9,46,"Female"
"MEP",13.26,0,63,"Male"
"MEP",9.77,2.98,52,"Female"
"MEP",12.56,0,58,"Female"
"MEP",6.98,5.51,52,"Male"
"MEP",12.09,0,68,"Male"
"MEP",11.63,0,50,"Female"
"MEP",9.77,1.64,48,"Female"
"MEP",11.16,0,44,"Female"
"MEP",6.98,4.15,32,"Male"
"MEP",6.98,3.58,44,"Male"
"MEP",10.23,0,42,"Male"
"MEP",9.77,0,63,"Male"
"MEP",9.77,0,44,"Female"
"MEP",9.3,0,59,"Male"
"MEP",7.91,0,66,"Male"
"MEP",7.91,0,59,"Male"
"MEP",7.91,0,46,"Male"
"MEP",6.51,1.36,30,"Male"
"MEP",6.98,0,69,"Male"
"MEP",6.98,0,68,"Male"
"MEP",6.98,0,65,"Male"
"MEP",6.98,0,57,"Male"
"MEP",6.98,0,55,"Male"
"MEP",4.19,0,36,"Male"
"MEP",2.79,0,51,"Male"
"MEP",0,1,36,"Male"
"MEP",0.93,0,42,"Male"
"MEP",0,0,49,"Male"
"regLineMale",25.6976160719033,37.7368652413095,22,"Male"
"regLineMale",25.7408754613947,37.5900849602152,23,"Male"
"regLineMale",25.7841348508861,37.4433046791209,24,"Male"
